Date,Open,High,Low,Close,Volume
2026-04-07,778.0,787.8,770.3,784.8,1165539.0
2026-04-08,812.0,840.85,810.0,835.95,3572416.0
2026-04-09,831.85,834.9,812.0,814.55,2531440.0
2026-04-10,818.5,835.45,817.8,830.9,1509168.0
2026-04-13,807.1,822.2,800.7,818.9,1555260.0
2026-04-15,832.0,850.0,828.15,840.1,3272348.0
2026-04-16,845.5,857.25,840.9,847.9,3785293.0
2026-04-17,849.0,857.45,838.55,853.9,1850548.0
2026-04-20,853.9,856.0,839.5,851.95,2453075.0
2026-04-21,857.7,865.85,854.85,856.4,975223.0
2026-04-22,851.0,873.0,851.0,870.1,2253573.0
2026-04-23,861.7,869.7,854.15,860.35,1561128.0
2026-04-24,868.0,868.0,839.0,847.95,1453183.0
2026-04-27,865.2,903.5,865.2,900.15,11254307.0
2026-04-28,890.15,895.7,882.45,885.55,5748485.0
2026-04-29,891.0,925.0,891.0,913.75,3485256.0
2026-04-30,906.0,920.0,895.25,916.05,3438569.0
2026-05-04,925.25,942.4,911.1,913.9,1973688.0
2026-05-05,911.1,918.1,903.0,910.7,2006111.0
2026-05-06,920.4,949.75,917.95,946.75,2901974.0
2026-05-07,948.25,951.65,934.1,946.95,2007411.0
2026-05-08,946.0,957.9,940.5,950.75,1604266.0
2026-05-11,939.0,940.9,918.1,922.3,1584134.0
2026-05-12,920.0,922.3,890.1,892.85,1374763.0
2026-05-13,891.0,906.8,890.3,892.5,1428120.0
2026-05-14,895.0,914.5,886.2,907.9,1862991.0
2026-05-15,910.0,910.0,881.95,886.4,1437283.0
2026-05-18,885.75,895.9,870.2,892.15,1421988.0
2026-05-19,898.5,904.1,888.8,895.25,1303728.0
2026-05-20,885.55,900.8,881.15,897.15,2947978.0
2026-05-21,905.5,913.9,892.3,899.95,2144884.0
2026-05-22,903.0,914.5,902.7,910.15,1165558.0
2026-05-25,920.15,933.5,920.15,926.1,1193834.0
2026-05-26,926.2,935.0,921.0,932.3,2323571.0
2026-05-27,930.5,939.8,928.0,932.3,1088920.0
2026-05-29,930.6,940.2,910.35,914.35,3160610.0
2026-06-01,917.75,925.9,896.8,901.15,1597794.0
2026-06-02,893.3,915.8,890.45,912.5,1756559.0
2026-06-03,907.1,907.9,884.05,899.95,2302274.0
2026-06-04,903.7,907.1,895.5,903.2,1798199.0
2026-06-05,899.0,925.8,896.1,904.8,1890312.0
2026-06-08,881.0,903.7,881.0,895.05,1864831.0
2026-06-09,896.05,928.0,896.05,922.8,1694676.0
2026-06-10,922.85,923.75,881.85,883.95,1993081.0
2026-06-11,883.85,897.6,881.75,888.95,1768283.0
2026-06-12,901.45,919.7,889.95,917.35,2663666.0
2026-06-15,926.0,953.5,923.1,933.2,3037001.0
2026-06-16,933.0,936.05,922.0,926.0,1602315.0
2026-06-17,926.0,938.4,920.2,936.2,1193109.0
2026-06-18,937.0,941.5,932.25,938.75,1007080.0
2026-06-19,938.5,950.55,931.2,947.45,6521623.0
2026-06-22,947.0,947.0,913.9,921.05,3031578.0
2026-06-23,923.0,924.0,902.8,905.45,1163601.0
2026-06-24,904.05,933.9,900.15,927.6,1793188.0
2026-06-25,933.0,936.9,915.5,918.95,1469160.0
2026-06-29,918.95,921.65,908.1,915.4,3346498.0
2026-06-30,916.45,933.1,916.45,924.2,2515841.0
2026-07-01,927.05,949.55,927.05,941.6,2290915.0
2026-07-02,941.6,944.9,931.6,943.5,1177319.0
2026-07-03,948.0,978.4,942.1,974.35,3819865.0
