Date,Open,High,Low,Close,Volume
2026-04-15,241.0,248.49,240.05,246.67,56072733.0
2026-04-16,249.25,253.29,247.15,252.7,48279727.0
2026-04-17,253.0,254.87,249.64,252.61,35893335.0
2026-04-20,251.85,257.95,248.11,254.88,39283935.0
2026-04-21,254.89,259.9,254.13,259.48,29052896.0
2026-04-22,257.03,264.8,256.29,262.99,45717764.0
2026-04-23,260.49,262.1,256.43,259.92,33833959.0
2026-04-24,259.9,261.5,252.17,256.79,33365767.0
2026-04-27,257.5,261.27,254.65,255.49,32002337.0
2026-04-28,256.0,260.5,245.0,253.07,104988011.0
2026-04-29,263.3,265.4,253.0,254.03,152137971.0
2026-04-30,249.0,251.69,242.65,247.03,72700438.0
2026-05-04,247.0,252.95,245.0,251.9,40885798.0
2026-05-05,251.0,253.35,245.75,248.47,28498223.0
2026-05-06,251.99,256.8,249.7,256.05,33005769.0
2026-05-07,258.0,260.52,256.37,257.42,25833825.0
2026-05-08,255.81,257.4,252.6,256.39,17618369.0
2026-05-11,253.31,253.7,245.0,245.87,33552537.0
2026-05-12,245.87,247.45,239.35,239.98,24867007.0
2026-05-13,238.1,241.8,236.39,237.82,31615154.0
2026-05-14,239.49,246.55,237.8,245.82,29973731.0
2026-05-15,245.0,245.72,240.41,241.18,18279677.0
2026-05-18,238.18,242.35,233.61,241.4,26827499.0
2026-05-19,240.02,249.85,238.7,247.21,33045253.0
2026-05-20,243.0,245.68,242.3,243.34,23420943.0
2026-05-21,245.7,247.91,241.56,242.05,21676835.0
2026-05-22,243.18,245.8,241.21,241.95,23537777.0
2026-05-25,244.0,249.35,244.0,247.67,20066077.0
2026-05-26,247.5,253.04,245.8,250.17,24447430.0
2026-05-27,251.09,258.88,251.09,256.51,36661755.0
2026-05-29,256.75,257.1,249.41,250.58,51989116.0
2026-06-01,251.1,253.85,247.5,248.1,19129575.0
2026-06-02,244.05,252.5,242.7,250.75,33811873.0
2026-06-03,248.0,249.45,244.5,247.0,25192315.0
2026-06-04,244.5,258.65,244.45,254.35,36690161.0
2026-06-05,253.35,258.8,252.8,256.5,34207436.0
2026-06-08,252.85,253.5,247.0,248.3,25126663.0
2026-06-09,250.9,251.9,243.45,245.65,33327569.0
2026-06-10,247.0,247.0,239.0,239.8,23687653.0
2026-06-11,238.0,238.3,234.25,235.2,36265366.0
2026-06-12,239.0,244.5,237.65,243.8,23501911.0
2026-06-15,250.0,256.65,248.05,252.0,39998375.0
2026-06-16,253.8,254.15,250.75,253.6,19483651.0
2026-06-17,254.0,262.5,253.2,258.4,33196297.0
2026-06-18,258.5,259.9,255.25,258.55,17926359.0
2026-06-19,257.0,264.9,254.55,264.3,29061365.0
2026-06-22,264.5,267.5,262.75,263.65,18797609.0
2026-06-23,263.0,266.3,258.0,258.95,16643592.0
2026-06-24,258.45,260.95,253.8,256.35,25071320.0
2026-06-25,254.0,257.5,252.5,255.15,20971007.0
2026-06-29,260.0,261.3,257.05,259.4,34568988.0
2026-06-30,260.2,266.7,257.3,264.6,32940948.0
2026-07-01,266.3,280.6,265.3,279.7,66845146.0
2026-07-02,282.0,285.95,278.6,279.7,41301386.0
2026-07-03,281.95,287.8,279.65,281.65,36875000.0
2026-07-06,283.8,284.2,279.85,283.4,21282150.0
2026-07-07,283.8,291.0,283.55,289.4,45305615.0
2026-07-08,288.5,296.55,283.75,286.7,58555994.0
2026-07-09,287.3,300.35,287.3,292.45,49865056.0
2026-07-10,294.7,295.2,287.15,289.65,24239849.0
