Date,Open,High,Low,Close,Volume
2026-04-02,670.25,683.25,655.6,680.05,2098148.0
2026-04-06,681.9,689.85,671.65,687.3,2378124.0
2026-04-07,684.0,694.85,671.25,693.9,2287422.0
2026-04-08,715.15,730.55,705.9,726.3,2887427.0
2026-04-09,725.95,735.0,716.05,720.6,2673685.0
2026-04-10,727.15,735.6,720.0,731.1,2096526.0
2026-04-13,710.0,727.95,705.2,716.1,2060416.0
2026-04-15,727.0,750.0,726.5,748.0,4100236.0
2026-04-16,759.05,761.7,747.25,755.9,3570965.0
2026-04-17,760.0,776.5,748.35,774.8,4137167.0
2026-04-20,775.95,804.65,764.2,795.7,5497243.0
2026-04-21,800.0,819.6,798.15,805.25,3645438.0
2026-04-22,805.25,835.0,803.0,824.35,4826906.0
2026-04-23,825.7,842.0,821.4,837.8,3763003.0
2026-04-24,844.5,846.9,809.0,823.15,3994254.0
2026-04-27,823.35,834.95,818.1,820.3,2549032.0
2026-04-28,820.7,836.4,820.7,831.2,1966693.0
2026-04-29,835.35,840.0,820.3,825.6,2354905.0
2026-04-30,824.75,824.75,803.9,813.35,3248937.0
2026-05-04,819.0,828.0,800.5,802.3,2569215.0
2026-05-05,800.0,833.0,794.1,826.9,6919738.0
2026-05-06,832.8,839.5,804.0,828.9,8627698.0
2026-05-07,841.5,872.35,830.05,859.1,13476263.0
2026-05-08,860.35,875.8,852.0,873.55,3998673.0
2026-05-11,875.0,886.8,855.0,858.1,4501442.0
2026-05-12,858.15,863.75,831.7,833.7,3032058.0
2026-05-13,830.0,850.0,826.0,847.05,2586976.0
2026-05-14,856.0,856.05,827.05,848.25,2851857.0
2026-05-15,845.9,848.0,833.0,838.2,1670728.0
2026-05-18,825.95,830.0,804.6,808.75,4002836.0
2026-05-19,811.0,828.7,807.15,819.4,2055370.0
2026-05-20,819.4,857.75,812.6,853.25,3710693.0
2026-05-21,865.0,870.3,857.05,864.9,2811644.0
2026-05-22,866.9,873.5,858.0,865.7,2028217.0
2026-05-25,874.9,884.4,864.8,867.9,2222363.0
2026-05-26,867.9,890.0,864.2,879.15,2788855.0
2026-05-27,882.55,938.0,882.0,934.8,9258467.0
2026-05-29,938.9,944.1,910.95,917.45,9449904.0
2026-06-01,928.95,928.95,891.3,894.35,3148459.0
2026-06-02,895.05,910.55,883.05,907.7,4931769.0
2026-06-03,912.95,914.6,890.45,906.65,3685445.0
2026-06-04,915.0,951.0,906.75,937.9,8471887.0
2026-06-05,948.85,952.0,928.6,937.85,4645742.0
2026-06-08,920.0,938.8,895.0,903.4,4203240.0
2026-06-09,910.2,921.0,905.3,911.2,3404934.0
2026-06-10,911.2,924.5,899.15,908.1,3175483.0
2026-06-11,900.5,926.5,898.95,901.35,2755854.0
2026-06-12,919.0,919.0,897.5,914.45,2901434.0
2026-06-15,928.0,942.9,916.55,935.5,2742582.0
2026-06-16,943.55,946.9,931.6,940.7,2475717.0
2026-06-17,941.0,965.6,937.0,963.75,3996950.0
2026-06-18,969.9,969.9,945.25,954.45,3552746.0
2026-06-19,954.1,966.05,950.05,963.7,3828968.0
2026-06-22,968.0,968.9,954.05,962.55,2540708.0
2026-06-23,965.0,966.0,946.0,950.5,2724967.0
2026-06-24,936.0,944.95,912.0,919.45,3996660.0
2026-06-25,919.45,948.95,919.45,942.1,3215230.0
2026-06-29,960.1,965.35,936.3,956.25,12311661.0
2026-06-30,963.1,969.0,949.3,952.15,3299400.0
2026-07-01,958.0,978.9,950.0,976.5,3489753.0
