Date,Open,High,Low,Close,Volume
2026-03-23,267.3,269.7,263.9,265.45,23991581.0
2026-03-24,268.55,273.3,266.85,268.05,18567283.0
2026-03-25,267.35,271.5,266.4,270.2,13380625.0
2026-03-27,270.5,285.0,269.7,281.95,60048871.0
2026-03-30,282.75,288.35,281.95,284.65,44866906.0
2026-04-01,290.0,293.0,282.8,288.05,31626297.0
2026-04-02,288.5,288.8,283.5,287.2,20935809.0
2026-04-06,287.3,288.5,280.45,281.85,24449779.0
2026-04-07,281.85,287.55,280.0,286.65,22891122.0
2026-04-08,280.0,287.85,274.75,285.5,42071040.0
2026-04-09,284.9,289.8,284.9,288.6,13585661.0
2026-04-10,288.6,291.85,284.55,286.5,12889209.0
2026-04-13,287.2,290.3,281.0,287.55,23986567.0
2026-04-15,284.05,289.8,283.35,287.6,16529148.0
2026-04-16,288.0,288.1,282.0,282.75,13626398.0
2026-04-17,283.4,285.5,282.2,284.05,17846605.0
2026-04-20,284.0,285.2,282.5,283.35,11057036.0
2026-04-21,283.15,284.85,282.4,283.1,13645673.0
2026-04-22,283.1,285.05,282.6,283.65,7395183.0
2026-04-23,284.85,289.8,284.05,286.25,13525025.0
2026-04-24,288.8,288.8,283.9,284.8,11789941.0
2026-04-27,286.0,286.7,284.2,285.9,6497916.0
2026-04-28,286.25,302.4,286.0,301.3,51575179.0
2026-04-29,303.9,307.5,299.75,301.4,27267649.0
2026-04-30,304.9,307.45,296.9,299.55,17490096.0
2026-05-04,298.4,299.9,292.35,292.9,15468437.0
2026-05-05,294.35,295.9,287.0,289.95,10750753.0
2026-05-06,289.95,290.25,280.0,280.8,22858013.0
2026-05-07,282.0,285.2,279.7,283.9,15608370.0
2026-05-08,283.6,284.0,278.6,279.2,9290168.0
2026-05-11,280.7,281.8,277.65,281.0,6948202.0
2026-05-12,286.9,299.9,286.85,294.5,52080828.0
2026-05-13,297.0,300.2,294.1,297.15,24381295.0
2026-05-14,300.0,303.7,298.7,300.9,22660293.0
2026-05-15,303.0,304.95,298.55,299.35,13695307.0
2026-05-18,299.35,300.7,295.1,297.2,10521642.0
2026-05-19,295.1,298.5,293.65,296.5,9565497.0
2026-05-20,294.8,301.75,293.85,298.3,12258794.0
2026-05-21,296.65,299.6,294.15,295.85,14084672.0
2026-05-22,295.8,296.8,289.4,290.0,11563330.0
2026-05-25,289.95,289.95,284.3,284.95,12837047.0
2026-05-26,285.1,289.65,284.0,287.5,10629491.0
2026-05-27,284.2,284.2,272.45,274.05,29178516.0
2026-05-29,275.95,276.05,261.55,265.4,74403401.0
2026-06-01,266.55,268.3,263.25,264.3,9095622.0
2026-06-02,263.15,266.2,261.05,265.05,16831714.0
2026-06-03,265.15,268.7,264.3,267.75,14618721.0
2026-06-04,266.7,271.15,265.9,267.55,15217360.0
2026-06-05,267.8,268.45,263.7,264.75,7493239.0
2026-06-08,264.15,266.25,262.7,264.65,6974540.0
2026-06-09,264.15,265.5,258.3,259.0,10796349.0
2026-06-10,259.0,261.85,251.35,251.9,10176332.0
2026-06-11,252.95,256.5,250.05,252.6,13516341.0
2026-06-12,250.3,250.85,243.35,246.2,31112657.0
2026-06-15,248.05,248.3,242.8,243.65,25211118.0
2026-06-16,244.15,248.8,243.5,248.2,17468010.0
2026-06-17,246.0,247.75,244.0,245.0,12816262.0
